postal_code,district
0131,St. Hanshaugen
0139,Nordstrand
0152,Sentrum
0153,Sentrum
0165,St. Hanshaugen
0166,St. Hanshaugen
0167,St. Hanshaugen
0168,St. Hanshaugen
0169,St. Hanshaugen
0170,St. Hanshaugen
0171,St. Hanshaugen
0172,St. Hanshaugen
0173,St. Hanshaugen
0174,St. Hanshaugen
0175,St. Hanshaugen
0176,St. Hanshaugen
0177,St. Hanshaugen
0178,St. Hanshaugen
0179,St. Hanshaugen
0182,Gamle Oslo
0183,Gamle Oslo
0186,St. Hanshaugen
0187,Gamle Oslo
0188,Gamle Oslo
0190,Gamle Oslo
0191,Gamle Oslo
0192,Nordstrand
0193,Nordstrand
0194,Gamle Oslo
0195,Gamle Oslo
0196,Gamle Oslo
0198,Gamle Oslo
0250,Frogner
0251,Frogner
0252,Frogner
0253,Frogner
0254,Frogner
0255,Frogner
0256,Frogner
0257,Frogner
0258,Frogner
0259,Frogner
0260,Frogner
0262,Frogner
0263,Frogner
0264,Frogner
0265,Frogner
0266,Frogner
0267,Frogner
0268,Frogner
0270,Frogner
0271,Frogner
0272,Frogner
0273,Frogner
0274,Frogner
0275,Frogner
0276,Frogner
0279,Frogner
0280,Ullern
0281,Ullern
0282,Ullern
0283,Ullern
0284,Ullern
0286,Ullern
0287,Frogner
0350,Frogner
0351,Frogner
0352,Frogner
0353,Frogner
0354,Frogner
0355,Frogner
0356,Frogner
0357,Frogner
0358,Frogner
0359,Frogner
0360,Frogner
0361,Frogner
0362,Frogner
0363,Frogner
0364,Frogner
0365,Frogner
0366,Frogner
0367,Frogner
0368,Frogner
0369,Frogner
0370,Vestre Aker
0371,Vestre Aker
0372,Vestre Aker
0373,Vestre Aker
0374,Vestre Aker
0375,Vestre Aker
0376,Vestre Aker
0377,Vestre Aker
0378,Vestre Aker
0379,Vestre Aker
0380,Vestre Aker
0381,Vestre Aker
0382,Vestre Aker
0383,Vestre Aker
0451,St. Hanshaugen
0452,St. Hanshaugen
0454,St. Hanshaugen
0455,St. Hanshaugen
0456,St. Hanshaugen
0457,St. Hanshaugen
0458,St. Hanshaugen
0459,St. Hanshaugen
0460,Sagene
0461,Sagene
0462,Sagene
0463,Sagene
0464,Sagene
0465,Sagene
0467,Sagene
0468,Sagene
0469,Sagene
0470,Sagene
0472,Sagene
0473,Sagene
0474,Sagene
0475,Sagene
0476,Sagene
0477,Sagene
0478,Sagene
0479,Sagene
0480,Sagene
0481,Sagene
0482,Sagene
0483,Sagene
0484,Sagene
0485,Sagene
0486,Sagene
0487,Sagene
0488,Sagene
0489,Sagene
0490,Nordre Aker
0491,Nordre Aker
0492,Nordre Aker
0493,Nordre Aker
0495,Nordre Aker
0550,Grünerløkka
0551,Grünerløkka
0552,Grünerløkka
0553,Grünerløkka
0554,Grünerløkka
0555,Grünerløkka
0556,Grünerløkka
