source,listing_id,title,address,city,chain,broker,price,status,published,property_type,broker_role,snapshot_at,last_seen_at
DNB,eace8027-98b1-4c3b-9f0c-08ddfb41677a,"Innholdsrik, praktisk og fin leilighet med populær beliggenhet | Nydelig utsikt | Balkong | Heis | Parkering | NTNU ","Bøgata 34A, 6008, Ålesund, ÅLESUND, ÅLESUND, MØRE OG ROMSDAL, Norge",Ålesund,DNB Eiendom,Anders Kristian Gundersen Vadset,3105104.0,available,2025-09-24T20:49:35.682Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.827465+00:00
DNB,eace8027-98b1-4c3b-9f0c-08ddfb41677a,"Innholdsrik, praktisk og fin leilighet med populær beliggenhet | Nydelig utsikt | Balkong | Heis | Parkering | NTNU ","Bøgata 34A, 6008, Ålesund, ÅLESUND, ÅLESUND, MØRE OG ROMSDAL, Norge",Ålesund,DNB Eiendom,Ragnhild Grødem,3105104.0,available,2025-09-24T20:49:35.682Z,Leilighet,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.827482+00:00
DNB,2e855ae1-4dcf-4d9b-9f0b-08ddfb41677a,Fin 3-roms andelsleilighet på bakkeplan | Romslig terrasse | Garasje | Sentralt | Prisregulert | Forkjøpsrett,"Osloveien 36B, 1440, Drøbak, DRØBAK, FROGN, AKERSHUS, Norge",Drøbak,DNB Eiendom,Martin Surén,3847678.0,available,2025-09-24T20:04:21.741Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.827833+00:00
DNB,2e855ae1-4dcf-4d9b-9f0b-08ddfb41677a,Fin 3-roms andelsleilighet på bakkeplan | Romslig terrasse | Garasje | Sentralt | Prisregulert | Forkjøpsrett,"Osloveien 36B, 1440, Drøbak, DRØBAK, FROGN, AKERSHUS, Norge",Drøbak,DNB Eiendom,Eirik Nguyen,3847678.0,available,2025-09-24T20:04:21.741Z,Leilighet,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.827846+00:00
DNB,45739975-18a1-4760-9f0a-08ddfb41677a,Fin arkitekttegnet enebolig med moderniseringsbehov | Flotte uteplasser | Utsikt mot Oslofjorden | Grenser til skogen,"Bjørnemyrsvingen 52, 1453, Bjørnemyr, BJØRNEMYR, NESODDEN, AKERSHUS, Norge",Bjørnemyr,DNB Eiendom,Nina Bøe,10046090.0,available,2025-09-24T19:56:23.085Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828165+00:00
DNB,45739975-18a1-4760-9f0a-08ddfb41677a,Fin arkitekttegnet enebolig med moderniseringsbehov | Flotte uteplasser | Utsikt mot Oslofjorden | Grenser til skogen,"Bjørnemyrsvingen 52, 1453, Bjørnemyr, BJØRNEMYR, NESODDEN, AKERSHUS, Norge",Bjørnemyr,DNB Eiendom,Morten Lysaker,10046090.0,available,2025-09-24T19:56:23.085Z,Enebolig,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.828176+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Ronny Skjedsvoll Strøm,4841024.0,available,2025-09-24T19:49:22.595Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828426+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Kapil Sarna,4841024.0,available,2025-09-24T19:49:22.595Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828435+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Ellen Mjaaland,4841024.0,available,2025-09-24T19:49:22.595Z,Leilighet,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.828444+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Therese Rosendal,3988340.0,available,2025-09-24T19:01:23.731Z,Fritidsbolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828646+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Sander Hovde,3988340.0,available,2025-09-24T19:01:23.731Z,Fritidsbolig,Fullmektig,2025-09-24 21:46:58,2025-09-24T21:46:58.828653+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Ina Allum,3988340.0,available,2025-09-24T19:01:23.731Z,Fritidsbolig,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.828659+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Jeanette Arnesen-Eriksrød,1528340.0,available,2025-09-24T19:00:12.446Z,Fritidsbolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828909+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Hanne Berit Bekkhus,1528340.0,available,2025-09-24T19:00:12.446Z,Fritidsbolig,Fullmektig,2025-09-24 21:46:58,2025-09-24T21:46:58.828915+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Silje Kristine Vestskog,1528340.0,available,2025-09-24T19:00:12.446Z,Fritidsbolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.828921+00:00
DNB,ff2f9e90-4c62-40a5-9f06-08ddfb41677a,"Innbydende og romslig 3-roms eierseksjonsleilighet | Solrik balkong | Heis | Sentral og attraktiv beliggenhet
","Skolegata 3, 3210, Sandefjord, SANDEFJORD, SANDEFJORD, VESTFOLD, Norge",Sandefjord,DNB Eiendom,Magnus Thorsrud,3988340.0,available,2025-09-24T18:47:23.805Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829121+00:00
DNB,ff2f9e90-4c62-40a5-9f06-08ddfb41677a,"Innbydende og romslig 3-roms eierseksjonsleilighet | Solrik balkong | Heis | Sentral og attraktiv beliggenhet
","Skolegata 3, 3210, Sandefjord, SANDEFJORD, SANDEFJORD, VESTFOLD, Norge",Sandefjord,DNB Eiendom,Kristin J.  Sæther,3988340.0,available,2025-09-24T18:47:23.805Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829128+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Martine Hustad,4295840.0,available,2025-09-24T18:15:31.495Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829341+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Line Hansen Furumo,4295840.0,available,2025-09-24T18:15:31.495Z,Enebolig,Fullmektig,2025-09-24 21:46:58,2025-09-24T21:46:58.829347+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Christian Hauge,4295840.0,available,2025-09-24T18:15:31.495Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829355+00:00
DNB,08607124-74e6-4e40-9f03-08ddfb41677a,"Trivelig enebolig med landlig og barnevennlig beliggenhet - Stor, solrik tomt og usjenert hage - Nærhet til E-18!","Søbyveien 3, 3178, Våle, VÅLE, TØNSBERG, VESTFOLD, Norge",Våle,DNB Eiendom,Truls Bøhle,3998590.0,available,2025-09-24T17:56:15.61Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829527+00:00
DNB,08607124-74e6-4e40-9f03-08ddfb41677a,"Trivelig enebolig med landlig og barnevennlig beliggenhet - Stor, solrik tomt og usjenert hage - Nærhet til E-18!","Søbyveien 3, 3178, Våle, VÅLE, TØNSBERG, VESTFOLD, Norge",Våle,DNB Eiendom,Ragnhild Grødem,3998590.0,available,2025-09-24T17:56:15.61Z,Enebolig,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.829533+00:00
DNB,1844d6b0-1411-4c02-9f02-08ddfb41677a,Lekker familiebolig over 3 plan med 4 soverom og 2 bad. Store solrike terrasser med nydelig utsikt og garasje!,"Tobrotet 136, 5355, Knarrevik, KNARREVIK, ØYGARDEN, VESTLAND, Norge",Knarrevik,DNB Eiendom,Andreas Ekerhovd,6345840.0,available,2025-09-24T17:37:29.436Z,Rekkehus,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829774+00:00
DNB,1844d6b0-1411-4c02-9f02-08ddfb41677a,Lekker familiebolig over 3 plan med 4 soverom og 2 bad. Store solrike terrasser med nydelig utsikt og garasje!,"Tobrotet 136, 5355, Knarrevik, KNARREVIK, ØYGARDEN, VESTLAND, Norge",Knarrevik,DNB Eiendom,Kristin J.  Sæther,6345840.0,available,2025-09-24T17:37:29.436Z,Rekkehus,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829780+00:00
DNB,b8f16a82-2a0a-4de8-9f01-08ddfb41677a,"Stort frittstående naust i naturskjønne omgivelser i Aldersundet. Vei helt fram, innlagt strøm","Naust i Aldersundet, 8730, Bratland, BRATLAND, LURØY, NORDLAND, Norge",Bratland,DNB Eiendom,Finn Hugo Amundsen,708340.0,available,2025-09-24T17:31:17.871Z,Fritidsbolig,Annet,2025-09-24 21:46:58,2025-09-24T21:46:58.829855+00:00
DNB,b8f16a82-2a0a-4de8-9f01-08ddfb41677a,"Stort frittstående naust i naturskjønne omgivelser i Aldersundet. Vei helt fram, innlagt strøm","Naust i Aldersundet, 8730, Bratland, BRATLAND, LURØY, NORDLAND, Norge",Bratland,DNB Eiendom,Christian Hauge,708340.0,available,2025-09-24T17:31:17.871Z,Fritidsbolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.829862+00:00
DNB,59fc54b5-8187-4d61-9f00-08ddfb41677a,Selveierleilighet 2 etg - Lys og romslig 3-roms med solrik veranda og garasjeplass,"Slemdalstun 9, 3717, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Torgeir Halsen,2670236.0,available,2025-09-24T16:56:31.168Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830092+00:00
DNB,59fc54b5-8187-4d61-9f00-08ddfb41677a,Selveierleilighet 2 etg - Lys og romslig 3-roms med solrik veranda og garasjeplass,"Slemdalstun 9, 3717, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Silje Kristine Vestskog,2670236.0,available,2025-09-24T16:56:31.168Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830098+00:00
DNB,59fc54b5-8187-4d61-9f00-08ddfb41677a,Selveierleilighet 2 etg - Lys og romslig 3-roms med solrik veranda og garasjeplass,"Slemdalstun 9, 3717, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Nicolai Endresen Fiveland,2670236.0,available,2025-09-24T16:56:31.168Z,Leilighet,Annet,2025-09-24 21:46:58,2025-09-24T21:46:58.830105+00:00
DNB,60ffcd32-4ffc-4e64-9eff-08ddfb41677a,Fin og romslig 2-roms selveierleilighet | Solrik balkong med fin utsikt | Garasjeplass | Nærhet til flotte turområder,"Kaldslettvegen 54, 9020, Tromsdalen, TROMSDALEN, TROMSØ, TROMS, Norge",Tromsdalen,DNB Eiendom,Ola Sollied Halvorsen,3065840.0,available,2025-09-24T16:49:23.669Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830291+00:00
DNB,60ffcd32-4ffc-4e64-9eff-08ddfb41677a,Fin og romslig 2-roms selveierleilighet | Solrik balkong med fin utsikt | Garasjeplass | Nærhet til flotte turområder,"Kaldslettvegen 54, 9020, Tromsdalen, TROMSDALEN, TROMSØ, TROMS, Norge",Tromsdalen,DNB Eiendom,Christian Hauge,3065840.0,available,2025-09-24T16:49:23.669Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830298+00:00
DNB,14e377be-3c19-4331-9efd-08ddfb41677a,Attraktivt enderekkehus med oppgraderingsbehov | Vestvendt terrasse med hagedel | Sentralt ,"Århusvegen 55A, 3723, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Vetle Ljosland Karlberg,2875286.0,available,2025-09-24T16:16:26.834Z,Rekkehus,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830472+00:00
DNB,14e377be-3c19-4331-9efd-08ddfb41677a,Attraktivt enderekkehus med oppgraderingsbehov | Vestvendt terrasse med hagedel | Sentralt ,"Århusvegen 55A, 3723, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Roger Halvorsen,2875286.0,available,2025-09-24T16:16:26.834Z,Rekkehus,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830479+00:00
DNB,14e377be-3c19-4331-9efd-08ddfb41677a,Attraktivt enderekkehus med oppgraderingsbehov | Vestvendt terrasse med hagedel | Sentralt ,"Århusvegen 55A, 3723, Skien, SKIEN, SKIEN, TELEMARK, Norge",Skien,DNB Eiendom,Silje Kristine Vestskog,2875286.0,available,2025-09-24T16:16:26.834Z,Rekkehus,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830485+00:00
DNB,600535c4-eeeb-46df-9efc-08ddfb41677a,Romslig enebolig med flott utsikt | Stor tomt | Landlig og solrik beliggenhet,"Kodalveien 506, 3243, Kodal, KODAL, SANDEFJORD, VESTFOLD, Norge",Kodal,DNB Eiendom,Robert Isachsen,3890000.0,available,2025-09-24T16:00:27.506Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830695+00:00
DNB,600535c4-eeeb-46df-9efc-08ddfb41677a,Romslig enebolig med flott utsikt | Stor tomt | Landlig og solrik beliggenhet,"Kodalveien 506, 3243, Kodal, KODAL, SANDEFJORD, VESTFOLD, Norge",Kodal,DNB Eiendom,Kristin J.  Sæther,3890000.0,available,2025-09-24T16:00:27.506Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830702+00:00
DNB,f083071a-11f2-4957-9efb-08ddfb41677a,Tiltalende 4-roms selveier med generøs takhøyde | Bygg fra 2008 | Solrik balkong | Garasje | Attraktiv beliggenhet!,"Torødveien 22D, 3135, Torød, TORØD, FÆRDER, VESTFOLD, Norge",Torød,DNB Eiendom,Karsten Thorberg,3793590.0,available,2025-09-24T15:55:29.786Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830883+00:00
DNB,f083071a-11f2-4957-9efb-08ddfb41677a,Tiltalende 4-roms selveier med generøs takhøyde | Bygg fra 2008 | Solrik balkong | Garasje | Attraktiv beliggenhet!,"Torødveien 22D, 3135, Torød, TORØD, FÆRDER, VESTFOLD, Norge",Torød,DNB Eiendom,Silje Kristine Vestskog,3793590.0,available,2025-09-24T15:55:29.786Z,Leilighet,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.830890+00:00
DNB,bef3ce1e-3f16-4c5f-1f10-08dde104d58c,Klassisk og sjarmerende enebolig med nydelig fjordutsikt - Solrike uteplasser og stor hage - Barnevennlig beliggenhet!,"Svelvikveien 190, 3037, Drammen, DRAMMEN, DRAMMEN, BUSKERUD, Norge",Drammen,DNB Eiendom,Ann-Kristin Salvesen,5946090.0,available,2025-09-24T15:37:27.041Z,Enebolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.831174+00:00
DNB,bef3ce1e-3f16-4c5f-1f10-08dde104d58c,Klassisk og sjarmerende enebolig med nydelig fjordutsikt - Solrike uteplasser og stor hage - Barnevennlig beliggenhet!,"Svelvikveien 190, 3037, Drammen, DRAMMEN, DRAMMEN, BUSKERUD, Norge",Drammen,DNB Eiendom,Ina Allum,5946090.0,available,2025-09-24T15:37:27.041Z,Enebolig,Oppgjør,2025-09-24 21:46:58,2025-09-24T21:46:58.831181+00:00
DNB,2bcbd2a9-b2d2-435a-9ef9-08ddfb41677a,Romslig og fin hytte ettertraktet beliggenhet på Hafjelltoppen | Langrennsløyper og alpinbakken i umiddelbar nærhet,"Lunnstadmyrvegen 416, 2636, Øyer, ØYER, ØYER, INNLANDET, Norge",Øyer,DNB Eiendom,Martin Slåttholm Sønsteli,12304840.0,available,2025-09-24T15:30:30.351Z,Fritidsbolig,Megler,2025-09-24 21:46:58,2025-09-24T21:46:58.831463+00:00
