source,listing_id,title,address,city,chain,broker,price,status,published,snapshot_at,last_seen_at
DNB,45739975-18a1-4760-9f0a-08ddfb41677a,Fin arkitekttegnet enebolig med moderniseringsbehov | Flotte uteplasser | Utsikt mot Oslofjorden | Grenser til skogen,"Bjørnemyrsvingen 52, 1453, Bjørnemyr, BJØRNEMYR, NESODDEN, AKERSHUS, Norge",Bjørnemyr,DNB Eiendom,Nina Bøe,10046090.0,available,2025-09-24T19:56:23.085Z,2025-09-24 20:01:28,2025-09-24T20:01:28.453950+00:00
DNB,45739975-18a1-4760-9f0a-08ddfb41677a,Fin arkitekttegnet enebolig med moderniseringsbehov | Flotte uteplasser | Utsikt mot Oslofjorden | Grenser til skogen,"Bjørnemyrsvingen 52, 1453, Bjørnemyr, BJØRNEMYR, NESODDEN, AKERSHUS, Norge",Bjørnemyr,DNB Eiendom,Nina Bøe,10046090.0,available,2025-09-24T19:56:23.085Z,2025-09-24 20:01:28,2025-09-24T20:01:28.453961+00:00
DNB,45739975-18a1-4760-9f0a-08ddfb41677a,Fin arkitekttegnet enebolig med moderniseringsbehov | Flotte uteplasser | Utsikt mot Oslofjorden | Grenser til skogen,"Bjørnemyrsvingen 52, 1453, Bjørnemyr, BJØRNEMYR, NESODDEN, AKERSHUS, Norge",Bjørnemyr,DNB Eiendom,Morten Lysaker,10046090.0,available,2025-09-24T19:56:23.085Z,2025-09-24 20:01:28,2025-09-24T20:01:28.453968+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Ronny Skjedsvoll Strøm,4841024.0,available,2025-09-24T19:49:22.595Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454197+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Ronny Skjedsvoll Strøm,4841024.0,available,2025-09-24T19:49:22.595Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454204+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Kapil Sarna,4841024.0,available,2025-09-24T19:49:22.595Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454209+00:00
DNB,9596c631-54c9-4df7-9f09-08ddfb41677a,Lekker 4-roms toppleilighet m/flott utsikt - Totalrenovert 2025 - Garasjeplass - V.vann/fyring akonto og internett inkl.,"Ravnåsveien 43H, 1254, Oslo - Søndre Nordstrand, OSLO, OSLO, OSLO, Norge",Oslo,DNB Eiendom,Ellen Mjaaland,4841024.0,available,2025-09-24T19:49:22.595Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454215+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Therese Rosendal,3988340.0,available,2025-09-24T19:01:23.731Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454444+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Sander Hovde,3988340.0,available,2025-09-24T19:01:23.731Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454451+00:00
DNB,04abf746-1d58-40bf-9f08-08ddfb41677a,"Familiehytte med unik beliggenhet i Eggedal| Vakker og usjenert beliggenhet| Flott helårs turterreng| Bilvei/Vann/Strøm

","Markeli 14, 3359, Eggedal, EGGEDAL, SIGDAL, BUSKERUD, Norge",Eggedal,DNB Eiendom,Ina Allum,3988340.0,available,2025-09-24T19:01:23.731Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454456+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Jeanette Arnesen-Eriksrød,1528340.0,available,2025-09-24T19:00:12.446Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454702+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Jeanette Arnesen-Eriksrød,1528340.0,available,2025-09-24T19:00:12.446Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454708+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Hanne Berit Bekkhus,1528340.0,available,2025-09-24T19:00:12.446Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454713+00:00
DNB,e5a5e0b9-54d0-4ec2-9f07-08ddfb41677a,Beliggende på førstelinje mot Møsvatn|Fantastiske sol & utsiktsforhold| Vann & avløp| Bilveg til døra|Sjelden mulighet! ,"Varlandsvegen, 3864, Rauland, RAULAND, VINJE, TELEMARK, Norge",Rauland,DNB Eiendom,Silje Kristine Vestskog,1528340.0,available,2025-09-24T19:00:12.446Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454719+00:00
DNB,ff2f9e90-4c62-40a5-9f06-08ddfb41677a,"Innbydende og romslig 3-roms eierseksjonsleilighet | Solrik balkong | Heis | Sentral og attraktiv beliggenhet
","Skolegata 3, 3210, Sandefjord, SANDEFJORD, SANDEFJORD, VESTFOLD, Norge",Sandefjord,DNB Eiendom,Magnus Thorsrud,3988340.0,available,2025-09-24T18:47:23.805Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454908+00:00
DNB,ff2f9e90-4c62-40a5-9f06-08ddfb41677a,"Innbydende og romslig 3-roms eierseksjonsleilighet | Solrik balkong | Heis | Sentral og attraktiv beliggenhet
","Skolegata 3, 3210, Sandefjord, SANDEFJORD, SANDEFJORD, VESTFOLD, Norge",Sandefjord,DNB Eiendom,Magnus Thorsrud,3988340.0,available,2025-09-24T18:47:23.805Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454914+00:00
DNB,ff2f9e90-4c62-40a5-9f06-08ddfb41677a,"Innbydende og romslig 3-roms eierseksjonsleilighet | Solrik balkong | Heis | Sentral og attraktiv beliggenhet
","Skolegata 3, 3210, Sandefjord, SANDEFJORD, SANDEFJORD, VESTFOLD, Norge",Sandefjord,DNB Eiendom,Kristin J.  Sæther,3988340.0,available,2025-09-24T18:47:23.805Z,2025-09-24 20:01:28,2025-09-24T20:01:28.454919+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Martine Hustad,4295840.0,available,2025-09-24T18:15:31.495Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455155+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Martine Hustad,4295840.0,available,2025-09-24T18:15:31.495Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455160+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Line Hansen Furumo,4295840.0,available,2025-09-24T18:15:31.495Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455165+00:00
DNB,f0a6091f-5d61-4a01-9f04-08ddfb41677a,ENEBOLIG MED HJØRNETOMT OG STORT POTENSIALE - 50kvm terrasse og romslig hage - Uinnredet kjeller - Moderniseringsbehov,"Sørtorvmyran 2, 9414, Harstad, HARSTAD, HARSTAD, TROMS, Norge",Harstad,DNB Eiendom,Christian Hauge,4295840.0,available,2025-09-24T18:15:31.495Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455171+00:00
DNB,08607124-74e6-4e40-9f03-08ddfb41677a,"Trivelig enebolig med landlig og barnevennlig beliggenhet - Stor, solrik tomt og usjenert hage - Nærhet til E-18!","Søbyveien 3, 3178, Våle, VÅLE, TØNSBERG, VESTFOLD, Norge",Våle,DNB Eiendom,Truls Bøhle,3998590.0,available,2025-09-24T17:56:15.61Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455348+00:00
DNB,08607124-74e6-4e40-9f03-08ddfb41677a,"Trivelig enebolig med landlig og barnevennlig beliggenhet - Stor, solrik tomt og usjenert hage - Nærhet til E-18!","Søbyveien 3, 3178, Våle, VÅLE, TØNSBERG, VESTFOLD, Norge",Våle,DNB Eiendom,Truls Bøhle,3998590.0,available,2025-09-24T17:56:15.61Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455354+00:00
DNB,08607124-74e6-4e40-9f03-08ddfb41677a,"Trivelig enebolig med landlig og barnevennlig beliggenhet - Stor, solrik tomt og usjenert hage - Nærhet til E-18!","Søbyveien 3, 3178, Våle, VÅLE, TØNSBERG, VESTFOLD, Norge",Våle,DNB Eiendom,Ragnhild Grødem,3998590.0,available,2025-09-24T17:56:15.61Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455359+00:00
DNB,1844d6b0-1411-4c02-9f02-08ddfb41677a,Lekker familiebolig over 3 plan med 4 soverom og 2 bad. Store solrike terrasser med nydelig utsikt og garasje!,"Tobrotet 136, 5355, Knarrevik, KNARREVIK, ØYGARDEN, VESTLAND, Norge",Knarrevik,DNB Eiendom,Andreas Ekerhovd,6345840.0,available,2025-09-24T17:37:29.436Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455601+00:00
DNB,1844d6b0-1411-4c02-9f02-08ddfb41677a,Lekker familiebolig over 3 plan med 4 soverom og 2 bad. Store solrike terrasser med nydelig utsikt og garasje!,"Tobrotet 136, 5355, Knarrevik, KNARREVIK, ØYGARDEN, VESTLAND, Norge",Knarrevik,DNB Eiendom,Andreas Ekerhovd,6345840.0,available,2025-09-24T17:37:29.436Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455606+00:00
DNB,1844d6b0-1411-4c02-9f02-08ddfb41677a,Lekker familiebolig over 3 plan med 4 soverom og 2 bad. Store solrike terrasser med nydelig utsikt og garasje!,"Tobrotet 136, 5355, Knarrevik, KNARREVIK, ØYGARDEN, VESTLAND, Norge",Knarrevik,DNB Eiendom,Kristin J.  Sæther,6345840.0,available,2025-09-24T17:37:29.436Z,2025-09-24 20:01:28,2025-09-24T20:01:28.455612+00:00
